code,description
S00.04XS,"""External constriction of part of scalp, sequela"""
S00.05XD,"""Superficial foreign body of scalp, subsequent encounter"""
S00.05XS,"""Superficial foreign body of scalp, sequela"""
S00.06XD,"""Insect bite (nonvenomous) of scalp, subsequent encounter"""
S00.06XS,"""Insect bite (nonvenomous) of scalp, sequela"""
S00.07XD,"""Other superficial bite of scalp, subsequent encounter"""
S00.07XS,"""Other superficial bite of scalp, sequela"""
S00.10XD,"""Contusion of unspecified eyelid and periocular area, subsequent encounter"""
S00.10XS,"""Contusion of unspecified eyelid and periocular area, sequela"""
S00.11XD,"""Contusion of right eyelid and periocular area, subsequent encounter"""
S00.11XS,"""Contusion of right eyelid and periocular area, sequela"""
S00.12XD,"""Contusion of left eyelid and periocular area, subsequent encounter"""
S00.12XS,"""Contusion of left eyelid and periocular area, sequela"""
S00.201D,"""Unspecified superficial injury of right eyelid and periocular area, subsequent encounter"""
S00.201S,"""Unspecified superficial injury of right eyelid and periocular area, sequela"""
S00.202D,"""Unspecified superficial injury of left eyelid and periocular area, subsequent encounter"""
S00.202S,"""Unspecified superficial injury of left eyelid and periocular area, sequela"""
S00.209D,"""Unspecified superficial injury of unspecified eyelid and periocular area, subsequent encounter"""
S00.209S,"""Unspecified superficial injury of unspecified eyelid and periocular area, sequela"""
S00.211D,"""Abrasion of right eyelid and periocular area, subsequent encounter"""
S00.211S,"""Abrasion of right eyelid and periocular area, sequela"""
S00.212D,"""Abrasion of left eyelid and periocular area, subsequent encounter"""
S00.212S,"""Abrasion of left eyelid and periocular area, sequela"""
S00.219D,"""Abrasion of unspecified eyelid and periocular area, subsequent encounter"""
S00.219S,"""Abrasion of unspecified eyelid and periocular area, sequela"""
S00.221D,"""Blister (nonthermal) of right eyelid and periocular area, subsequent encounter"""
S00.221S,"""Blister (nonthermal) of right eyelid and periocular area, sequela"""
S00.222D,"""Blister (nonthermal) of left eyelid and periocular area, subsequent encounter"""
S00.222S,"""Blister (nonthermal) of left eyelid and periocular area, sequela"""
S00.229D,"""Blister (nonthermal) of unspecified eyelid and periocular area, subsequent encounter"""
S00.229S,"""Blister (nonthermal) of unspecified eyelid and periocular area, sequela"""
S00.241D,"""External constriction of right eyelid and periocular area, subsequent encounter"""
S00.241S,"""External constriction of right eyelid and periocular area, sequela"""
S00.242D,"""External constriction of left eyelid and periocular area, subsequent encounter"""
S00.242S,"""External constriction of left eyelid and periocular area, sequela"""
S00.249D,"""External constriction of unspecified eyelid and periocular area, subsequent encounter"""
S00.249S,"""External constriction of unspecified eyelid and periocular area, sequela"""
S00.251D,"""Superficial foreign body of right eyelid and periocular area, subsequent encounter"""
S00.251S,"""Superficial foreign body of right eyelid and periocular area, sequela"""
S00.252D,"""Superficial foreign body of left eyelid and periocular area, subsequent encounter"""
S00.252S,"""Superficial foreign body of left eyelid and periocular area, sequela"""
S00.259D,"""Superficial foreign body of unspecified eyelid and periocular area, subsequent encounter"""
S00.259S,"""Superficial foreign body of unspecified eyelid and periocular area, sequela"""
S00.261D,"""Insect bite (nonvenomous) of right eyelid and periocular area, subsequent encounter"""
S00.261S,"""Insect bite (nonvenomous) of right eyelid and periocular area, sequela"""
S00.262D,"""Insect bite (nonvenomous) of left eyelid and periocular area, subsequent encounter"""
S00.262S,"""Insect bite (nonvenomous) of left eyelid and periocular area, sequela"""
S00.269D,"""Insect bite (nonvenomous) of unspecified eyelid and periocular area, subsequent encounter"""
S00.269S,"""Insect bite (nonvenomous) of unspecified eyelid and periocular area, sequela"""
S00.271D,"""Other superficial bite of right eyelid and periocular area, subsequent encounter"""
S00.271S,"""Other superficial bite of right eyelid and periocular area, sequela"""
S00.272D,"""Other superficial bite of left eyelid and periocular area, subsequent encounter"""
S00.272S,"""Other superficial bite of left eyelid and periocular area, sequela"""
S00.279D,"""Other superficial bite of unspecified eyelid and periocular area, subsequent encounter"""
S00.279S,"""Other superficial bite of unspecified eyelid and periocular area, sequela"""
S00.30XD,"""Unspecified superficial injury of nose, subsequent encounter"""
S00.30XS,"""Unspecified superficial injury of nose, sequela"""
S00.31XD,"""Abrasion of nose, subsequent encounter"""
S00.31XS,"""Abrasion of nose, sequela"""
S00.32XD,"""Blister (nonthermal) of nose, subsequent encounter"""
S00.32XS,"""Blister (nonthermal) of nose, sequela"""
S00.33XD,"""Contusion of nose, subsequent encounter"""
S00.33XS,"""Contusion of nose, sequela"""
S00.34XD,"""External constriction of nose, subsequent encounter"""
S00.34XS,"""External constriction of nose, sequela"""
S00.35XD,"""Superficial foreign body of nose, subsequent encounter"""
S00.35XS,"""Superficial foreign body of nose, sequela"""
S00.36XD,"""Insect bite (nonvenomous) of nose, subsequent encounter"""
S00.36XS,"""Insect bite (nonvenomous) of nose, sequela"""
S00.37XD,"""Other superficial bite of nose, subsequent encounter"""
S00.37XS,"""Other superficial bite of nose, sequela"""
S00.401D,"""Unspecified superficial injury of right ear, subsequent encounter"""
S00.401S,"""Unspecified superficial injury of right ear, sequela"""
S00.402D,"""Unspecified superficial injury of left ear, subsequent encounter"""
S00.402S,"""Unspecified superficial injury of left ear, sequela"""
S00.409D,"""Unspecified superficial injury of unspecified ear, subsequent encounter"""
S00.409S,"""Unspecified superficial injury of unspecified ear, sequela"""
S00.411D,"""Abrasion of right ear, subsequent encounter"""
S00.411S,"""Abrasion of right ear, sequela"""
S00.412D,"""Abrasion of left ear, subsequent encounter"""
S00.412S,"""Abrasion of left ear, sequela"""
S00.419D,"""Abrasion of unspecified ear, subsequent encounter"""
S00.419S,"""Abrasion of unspecified ear, sequela"""
S00.421D,"""Blister (nonthermal) of right ear, subsequent encounter"""
S00.421S,"""Blister (nonthermal) of right ear, sequela"""
S00.422D,"""Blister (nonthermal) of left ear, subsequent encounter"""
S00.422S,"""Blister (nonthermal) of left ear, sequela"""
S00.429D,"""Blister (nonthermal) of unspecified ear, subsequent encounter"""
S00.429S,"""Blister (nonthermal) of unspecified ear, sequela"""
S00.431D,"""Contusion of right ear, subsequent encounter"""
S00.431S,"""Contusion of right ear, sequela"""
S00.432D,"""Contusion of left ear, subsequent encounter"""
S00.432S,"""Contusion of left ear, sequela"""
S00.439D,"""Contusion of unspecified ear, subsequent encounter"""
S00.439S,"""Contusion of unspecified ear, sequela"""
S00.441D,"""External constriction of right ear, subsequent encounter"""
S00.441S,"""External constriction of right ear, sequela"""
S00.442D,"""External constriction of left ear, subsequent encounter"""
S00.442S,"""External constriction of left ear, sequela"""
S00.449D,"""External constriction of unspecified ear, subsequent encounter"""
S00.449S,"""External constriction of unspecified ear, sequela"""
S00.451D,"""Superficial foreign body of right ear, subsequent encounter"""
S00.451S,"""Superficial foreign body of right ear, sequela"""
S00.452D,"""Superficial foreign body of left ear, subsequent encounter"""
S00.452S,"""Superficial foreign body of left ear, sequela"""
S00.459D,"""Superficial foreign body of unspecified ear, subsequent encounter"""
S00.459S,"""Superficial foreign body of unspecified ear, sequela"""
S00.461D,"""Insect bite (nonvenomous) of right ear, subsequent encounter"""
S00.461S,"""Insect bite (nonvenomous) of right ear, sequela"""
S00.462D,"""Insect bite (nonvenomous) of left ear, subsequent encounter"""
S00.462S,"""Insect bite (nonvenomous) of left ear, sequela"""
S00.469D,"""Insect bite (nonvenomous) of unspecified ear, subsequent encounter"""
S00.469S,"""Insect bite (nonvenomous) of unspecified ear, sequela"""
S00.471D,"""Other superficial bite of right ear, subsequent encounter"""
S00.471S,"""Other superficial bite of right ear, sequela"""
S00.472D,"""Other superficial bite of left ear, subsequent encounter"""
S00.472S,"""Other superficial bite of left ear, sequela"""
S00.479D,"""Other superficial bite of unspecified ear, subsequent encounter"""
S00.479S,"""Other superficial bite of unspecified ear, sequela"""
S00.501D,"""Unspecified superficial injury of lip, subsequent encounter"""
S00.501S,"""Unspecified superficial injury of lip, sequela"""
S00.502D,"""Unspecified superficial injury of oral cavity, subsequent encounter"""
S00.502S,"""Unspecified superficial injury of oral cavity, sequela"""
S00.511D,"""Abrasion of lip, subsequent encounter"""
S00.511S,"""Abrasion of lip, sequela"""
S00.512D,"""Abrasion of oral cavity, subsequent encounter"""
S00.512S,"""Abrasion of oral cavity, sequela"""
S00.521D,"""Blister (nonthermal) of lip, subsequent encounter"""
S00.521S,"""Blister (nonthermal) of lip, sequela"""
S00.522D,"""Blister (nonthermal) of oral cavity, subsequent encounter"""
S00.522S,"""Blister (nonthermal) of oral cavity, sequela"""
S00.531D,"""Contusion of lip, subsequent encounter"""
S00.531S,"""Contusion of lip, sequela"""
S00.532D,"""Contusion of oral cavity, subsequent encounter"""
S00.532S,"""Contusion of oral cavity, sequela"""
S00.541D,"""External constriction of lip, subsequent encounter"""
S00.541S,"""External constriction of lip, sequela"""
S00.542D,"""External constriction of oral cavity, subsequent encounter"""
S00.542S,"""External constriction of oral cavity, sequela"""
S00.551D,"""Superficial foreign body of lip, subsequent encounter"""
S00.551S,"""Superficial foreign body of lip, sequela"""
S00.552D,"""Superficial foreign body of oral cavity, subsequent encounter"""
S00.552S,"""Superficial foreign body of oral cavity, sequela"""
S00.561D,"""Insect bite (nonvenomous) of lip, subsequent encounter"""
S00.561S,"""Insect bite (nonvenomous) of lip, sequela"""
S00.562D,"""Insect bite (nonvenomous) of oral cavity, subsequent encounter"""
S00.562S,"""Insect bite (nonvenomous) of oral cavity, sequela"""
S00.571D,"""Other superficial bite of lip, subsequent encounter"""
S00.571S,"""Other superficial bite of lip, sequela"""
S00.572D,"""Other superficial bite of oral cavity, subsequent encounter"""
S00.572S,"""Other superficial bite of oral cavity, sequela"""
S00.80XD,"""Unspecified superficial injury of other part of head, subsequent encounter"""
S00.80XS,"""Unspecified superficial injury of other part of head, sequela"""
S00.81XD,"""Abrasion of other part of head, subsequent encounter"""
S00.81XS,"""Abrasion of other part of head, sequela"""
S00.82XD,"""Blister (nonthermal) of other part of head, subsequent encounter"""
S00.82XS,"""Blister (nonthermal) of other part of head, sequela"""
S00.83XD,"""Contusion of other part of head, subsequent encounter"""
S00.83XS,"""Contusion of other part of head, sequela"""
S00.84XD,"""External constriction of other part of head, subsequent encounter"""
S00.84XS,"""External constriction of other part of head, sequela"""
S00.85XD,"""Superficial foreign body of other part of head, subsequent encounter"""
S00.85XS,"""Superficial foreign body of other part of head, sequela"""
S00.86XD,"""Insect bite (nonvenomous) of other part of head, subsequent encounter"""
S00.86XS,"""Insect bite (nonvenomous) of other part of head, sequela"""
S00.87XD,"""Other superficial bite of other part of head, subsequent encounter"""
S00.87XS,"""Other superficial bite of other part of head, sequela"""
S00.90XD,"""Unspecified superficial injury of unspecified part of head, subsequent encounter"""
S00.90XS,"""Unspecified superficial injury of unspecified part of head, sequela"""
S00.91XD,"""Abrasion of unspecified part of head, subsequent encounter"""
S00.91XS,"""Abrasion of unspecified part of head, sequela"""
S00.92XD,"""Blister (nonthermal) of unspecified part of head, subsequent encounter"""
S00.92XS,"""Blister (nonthermal) of unspecified part of head, sequela"""
S00.93XD,"""Contusion of unspecified part of head, subsequent encounter"""
S00.93XS,"""Contusion of unspecified part of head, sequela"""
S00.94XD,"""External constriction of unspecified part of head, subsequent encounter"""
S00.94XS,"""External constriction of unspecified part of head, sequela"""
S00.95XD,"""Superficial foreign body of unspecified part of head, subsequent encounter"""
S00.95XS,"""Superficial foreign body of unspecified part of head, sequela"""
S00.96XD,"""Insect bite (nonvenomous) of unspecified part of head, subsequent encounter"""
S00.96XS,"""Insect bite (nonvenomous) of unspecified part of head, sequela"""
S00.97XD,"""Other superficial bite of unspecified part of head, subsequent encounter"""
S00.97XS,"""Other superficial bite of unspecified part of head, sequela"""
S01.00XD,"""Unspecified open wound of scalp, subsequent encounter"""
S01.00XS,"""Unspecified open wound of scalp, sequela"""
S01.01XD,"""Laceration without foreign body of scalp, subsequent encounter"""
S01.01XS,"""Laceration without foreign body of scalp, sequela"""
S01.02XD,"""Laceration with foreign body of scalp, subsequent encounter"""
S01.02XS,"""Laceration with foreign body of scalp, sequela"""
S01.03XD,"""Puncture wound without foreign body of scalp, subsequent encounter"""
S01.03XS,"""Puncture wound without foreign body of scalp, sequela"""
S01.04XD,"""Puncture wound with foreign body of scalp, subsequent encounter"""
S01.04XS,"""Puncture wound with foreign body of scalp, sequela"""
S01.05XD,"""Open bite of scalp, subsequent encounter"""
S01.05XS,"""Open bite of scalp, sequela"""
S01.101D,"""Unspecified open wound of right eyelid and periocular area, subsequent encounter"""
S01.101S,"""Unspecified open wound of right eyelid and periocular area, sequela"""
S01.102D,"""Unspecified open wound of left eyelid and periocular area, subsequent encounter"""
S01.102S,"""Unspecified open wound of left eyelid and periocular area, sequela"""
S01.109D,"""Unspecified open wound of unspecified eyelid and periocular area, subsequent encounter"""
S01.109S,"""Unspecified open wound of unspecified eyelid and periocular area, sequela"""
S01.111D,"""Laceration without foreign body of right eyelid and periocular area, subsequent encounter"""
S01.111S,"""Laceration without foreign body of right eyelid and periocular area, sequela"""
S01.112D,"""Laceration without foreign body of left eyelid and periocular area, subsequent encounter"""
S01.112S,"""Laceration without foreign body of left eyelid and periocular area, sequela"""
S01.119D,"""Laceration without foreign body of unspecified eyelid and periocular area, subsequent encounter"""
S01.119S,"""Laceration without foreign body of unspecified eyelid and periocular area, sequela"""
S01.121D,"""Laceration with foreign body of right eyelid and periocular area, subsequent encounter"""
S01.121S,"""Laceration with foreign body of right eyelid and periocular area, sequela"""
S01.122D,"""Laceration with foreign body of left eyelid and periocular area, subsequent encounter"""
S01.122S,"""Laceration with foreign body of left eyelid and periocular area, sequela"""
S01.129D,"""Laceration with foreign body of unspecified eyelid and periocular area, subsequent encounter"""
S01.129S,"""Laceration with foreign body of unspecified eyelid and periocular area, sequela"""
S01.131D,"""Puncture wound without foreign body of right eyelid and periocular area, subsequent encounter"""
S01.131S,"""Puncture wound without foreign body of right eyelid and periocular area, sequela"""
S01.132D,"""Puncture wound without foreign body of left eyelid and periocular area, subsequent encounter"""
S01.132S,"""Puncture wound without foreign body of left eyelid and periocular area, sequela"""
S01.139D,"""Puncture wound without foreign body of unspecified eyelid and periocular area, subsequent encounter"""
S01.139S,"""Puncture wound without foreign body of unspecified eyelid and periocular area, sequela"""
S01.141D,"""Puncture wound with foreign body of right eyelid and periocular area, subsequent encounter"""
S01.141S,"""Puncture wound with foreign body of right eyelid and periocular area, sequela"""
S01.142D,"""Puncture wound with foreign body of left eyelid and periocular area, subsequent encounter"""
S01.142S,"""Puncture wound with foreign body of left eyelid and periocular area, sequela"""
S01.149D,"""Puncture wound with foreign body of unspecified eyelid and periocular area, subsequent encounter"""
S01.149S,"""Puncture wound with foreign body of unspecified eyelid and periocular area, sequela"""
S01.151D,"""Open bite of right eyelid and periocular area, subsequent encounter"""
S01.151S,"""Open bite of right eyelid and periocular area, sequela"""
S01.152D,"""Open bite of left eyelid and periocular area, subsequent encounter"""
S01.152S,"""Open bite of left eyelid and periocular area, sequela"""
S01.159D,"""Open bite of unspecified eyelid and periocular area, subsequent encounter"""
S01.159S,"""Open bite of unspecified eyelid and periocular area, sequela"""
S01.20XD,"""Unspecified open wound of nose, subsequent encounter"""
S01.20XS,"""Unspecified open wound of nose, sequela"""
S01.21XD,"""Laceration without foreign body of nose, subsequent encounter"""
S01.21XS,"""Laceration without foreign body of nose, sequela"""
S01.22XD,"""Laceration with foreign body of nose, subsequent encounter"""
S01.22XS,"""Laceration with foreign body of nose, sequela"""
S01.23XD,"""Puncture wound without foreign body of nose, subsequent encounter"""
S01.23XS,"""Puncture wound without foreign body of nose, sequela"""
S01.24XD,"""Puncture wound with foreign body of nose, subsequent encounter"""
S01.24XS,"""Puncture wound with foreign body of nose, sequela"""
S01.25XD,"""Open bite of nose, subsequent encounter"""
S01.25XS,"""Open bite of nose, sequela"""
S01.301D,"""Unspecified open wound of right ear, subsequent encounter"""
S01.301S,"""Unspecified open wound of right ear, sequela"""
S01.302D,"""Unspecified open wound of left ear, subsequent encounter"""
S01.302S,"""Unspecified open wound of left ear, sequela"""
S01.309D,"""Unspecified open wound of unspecified ear, subsequent encounter"""
S01.309S,"""Unspecified open wound of unspecified ear, sequela"""
S01.311D,"""Laceration without foreign body of right ear, subsequent encounter"""
S01.311S,"""Laceration without foreign body of right ear, sequela"""
S01.312D,"""Laceration without foreign body of left ear, subsequent encounter"""
S01.312S,"""Laceration without foreign body of left ear, sequela"""
S01.319D,"""Laceration without foreign body of unspecified ear, subsequent encounter"""
S01.319S,"""Laceration without foreign body of unspecified ear, sequela"""
S01.321D,"""Laceration with foreign body of right ear, subsequent encounter"""
S01.321S,"""Laceration with foreign body of right ear, sequela"""
S01.322D,"""Laceration with foreign body of left ear, subsequent encounter"""
S01.322S,"""Laceration with foreign body of left ear, sequela"""
S01.329D,"""Laceration with foreign body of unspecified ear, subsequent encounter"""
S01.329S,"""Laceration with foreign body of unspecified ear, sequela"""
S01.331D,"""Puncture wound without foreign body of right ear, subsequent encounter"""
S01.331S,"""Puncture wound without foreign body of right ear, sequela"""
S01.332D,"""Puncture wound without foreign body of left ear, subsequent encounter"""
S01.332S,"""Puncture wound without foreign body of left ear, sequela"""
S01.339D,"""Puncture wound without foreign body of unspecified ear, subsequent encounter"""
S01.339S,"""Puncture wound without foreign body of unspecified ear, sequela"""
S01.341D,"""Puncture wound with foreign body of right ear, subsequent encounter"""
S01.341S,"""Puncture wound with foreign body of right ear, sequela"""
S01.342D,"""Puncture wound with foreign body of left ear, subsequent encounter"""
S01.342S,"""Puncture wound with foreign body of left ear, sequela"""
S01.349D,"""Puncture wound with foreign body of unspecified ear, subsequent encounter"""
S01.349S,"""Puncture wound with foreign body of unspecified ear, sequela"""
S01.351D,"""Open bite of right ear, subsequent encounter"""
S01.351S,"""Open bite of right ear, sequela"""
S01.352D,"""Open bite of left ear, subsequent encounter"""
S01.352S,"""Open bite of left ear, sequela"""
S01.359D,"""Open bite of unspecified ear, subsequent encounter"""
S01.359S,"""Open bite of unspecified ear, sequela"""
S01.401D,"""Unspecified open wound of right cheek and temporomandibular area, subsequent encounter"""
S01.401S,"""Unspecified open wound of right cheek and temporomandibular area, sequela"""
S01.402D,"""Unspecified open wound of left cheek and temporomandibular area, subsequent encounter"""
S01.402S,"""Unspecified open wound of left cheek and temporomandibular area, sequela"""
S01.409D,"""Unspecified open wound of unspecified cheek and temporomandibular area, subsequent encounter"""
S01.409S,"""Unspecified open wound of unspecified cheek and temporomandibular area, sequela"""
S01.411D,"""Laceration without foreign body of right cheek and temporomandibular area, subsequent encounter"""
S01.411S,"""Laceration without foreign body of right cheek and temporomandibular area, sequela"""
S01.412D,"""Laceration without foreign body of left cheek and temporomandibular area, subsequent encounter"""
S01.412S,"""Laceration without foreign body of left cheek and temporomandibular area, sequela"""
S01.419D,"""Laceration without foreign body of unspecified cheek and temporomandibular area, subsequent encounter"""
S01.419S,"""Laceration without foreign body of unspecified cheek and temporomandibular area, sequela"""
S01.421D,"""Laceration with foreign body of right cheek and temporomandibular area, subsequent encounter"""
S01.421S,"""Laceration with foreign body of right cheek and temporomandibular area, sequela"""
S01.422D,"""Laceration with foreign body of left cheek and temporomandibular area, subsequent encounter"""
S01.422S,"""Laceration with foreign body of left cheek and temporomandibular area, sequela"""
S01.429D,"""Laceration with foreign body of unspecified cheek and temporomandibular area, subsequent encounter"""
S01.429S,"""Laceration with foreign body of unspecified cheek and temporomandibular area, sequela"""
S01.431D,"""Puncture wound without foreign body of right cheek and temporomandibular area, subsequent encounter"""
S01.431S,"""Puncture wound without foreign body of right cheek and temporomandibular area, sequela"""
S01.432D,"""Puncture wound without foreign body of left cheek and temporomandibular area, subsequent encounter"""
S01.432S,"""Puncture wound without foreign body of left cheek and temporomandibular area, sequela"""
S01.439D,"""Puncture wound without foreign body of unspecified cheek and temporomandibular area, subsequent encounter"""
S01.439S,"""Puncture wound without foreign body of unspecified cheek and temporomandibular area, sequela"""
S01.441D,"""Puncture wound with foreign body of right cheek and temporomandibular area, subsequent encounter"""
S01.441S,"""Puncture wound with foreign body of right cheek and temporomandibular area, sequela"""
S01.442D,"""Puncture wound with foreign body of left cheek and temporomandibular area, subsequent encounter"""
S01.442S,"""Puncture wound with foreign body of left cheek and temporomandibular area, sequela"""
S01.449D,"""Puncture wound with foreign body of unspecified cheek and temporomandibular area, subsequent encounter"""
S01.449S,"""Puncture wound with foreign body of unspecified cheek and temporomandibular area, sequela"""
S01.451D,"""Open bite of right cheek and temporomandibular area, subsequent encounter"""
S01.451S,"""Open bite of right cheek and temporomandibular area, sequela"""
S01.452D,"""Open bite of left cheek and temporomandibular area, subsequent encounter"""
S01.452S,"""Open bite of left cheek and temporomandibular area, sequela"""
S01.459D,"""Open bite of unspecified cheek and temporomandibular area, subsequent encounter"""
S01.459S,"""Open bite of unspecified cheek and temporomandibular area, sequela"""
S01.501D,"""Unspecified open wound of lip, subsequent encounter"""
S01.501S,"""Unspecified open wound of lip, sequela"""
S01.502D,"""Unspecified open wound of oral cavity, subsequent encounter"""
S01.502S,"""Unspecified open wound of oral cavity, sequela"""
S01.511D,"""Laceration without foreign body of lip, subsequent encounter"""
S01.511S,"""Laceration without foreign body of lip, sequela"""
S01.512D,"""Laceration without foreign body of oral cavity, subsequent encounter"""
S01.512S,"""Laceration without foreign body of oral cavity, sequela"""
S01.521D,"""Laceration with foreign body of lip, subsequent encounter"""
S01.521S,"""Laceration with foreign body of lip, sequela"""
S01.522D,"""Laceration with foreign body of oral cavity, subsequent encounter"""
S01.522S,"""Laceration with foreign body of oral cavity, sequela"""
S01.531D,"""Puncture wound without foreign body of lip, subsequent encounter"""
S01.531S,"""Puncture wound without foreign body of lip, sequela"""
S01.532D,"""Puncture wound without foreign body of oral cavity, subsequent encounter"""
S01.532S,"""Puncture wound without foreign body of oral cavity, sequela"""
S01.541D,"""Puncture wound with foreign body of lip, subsequent encounter"""
S01.541S,"""Puncture wound with foreign body of lip, sequela"""
S01.542D,"""Puncture wound with foreign body of oral cavity, subsequent encounter"""
S01.542S,"""Puncture wound with foreign body of oral cavity, sequela"""
S01.551D,"""Open bite of lip, subsequent encounter"""
S01.551S,"""Open bite of lip, sequela"""
S01.552D,"""Open bite of oral cavity, subsequent encounter"""
S01.552S,"""Open bite of oral cavity, sequela"""
S01.80XD,"""Unspecified open wound of other part of head, subsequent encounter"""
S01.80XS,"""Unspecified open wound of other part of head, sequela"""
S01.81XD,"""Laceration without foreign body of other part of head, subsequent encounter"""
S01.81XS,"""Laceration without foreign body of other part of head, sequela"""
S01.82XD,"""Laceration with foreign body of other part of head, subsequent encounter"""
S01.82XS,"""Laceration with foreign body of other part of head, sequela"""
S01.83XD,"""Puncture wound without foreign body of other part of head, subsequent encounter"""
S01.83XS,"""Puncture wound without foreign body of other part of head, sequela"""
S01.84XD,"""Puncture wound with foreign body of other part of head, subsequent encounter"""
S01.84XS,"""Puncture wound with foreign body of other part of head, sequela"""
S01.85XD,"""Open bite of other part of head, subsequent encounter"""
S01.85XS,"""Open bite of other part of head, sequela"""
S01.90XD,"""Unspecified open wound of unspecified part of head, subsequent encounter"""
S01.90XS,"""Unspecified open wound of unspecified part of head, sequela"""
S01.91XD,"""Laceration without foreign body of unspecified part of head, subsequent encounter"""
S01.91XS,"""Laceration without foreign body of unspecified part of head, sequela"""
S01.92XD,"""Laceration with foreign body of unspecified part of head, subsequent encounter"""
S01.92XS,"""Laceration with foreign body of unspecified part of head, sequela"""
S01.93XD,"""Puncture wound without foreign body of unspecified part of head, subsequent encounter"""
S01.93XS,"""Puncture wound without foreign body of unspecified part of head, sequela"""
S01.94XD,"""Puncture wound with foreign body of unspecified part of head, subsequent encounter"""
S01.94XS,"""Puncture wound with foreign body of unspecified part of head, sequela"""
S01.95XD,"""Open bite of unspecified part of head, subsequent encounter"""
S01.95XS,"""Open bite of unspecified part of head, sequela"""
S02.0XXD,"""Fracture of vault of skull, subsequent encounter for fracture with routine healing"""
S02.0XXG,"""Fracture of vault of skull, subsequent encounter for fracture with delayed healing"""
S02.0XXK,"""Fracture of vault of skull, subsequent encounter for fracture with nonunion"""
S02.0XXS,"""Fracture of vault of skull, sequela"""
S02.101D,"""Fracture of base of skull, right side, subsequent encounter for fracture with routine healing"""
S02.101G,"""Fracture of base of skull, right side, subsequent encounter for fracture with delayed healing"""
S02.101K,"""Fracture of base of skull, right side, subsequent encounter for fracture with nonunion"""
S02.101S,"""Fracture of base of skull, right side, sequela"""
S02.102D,"""Fracture of base of skull, left side, subsequent encounter for fracture with routine healing"""
S02.102G,"""Fracture of base of skull, left side, subsequent encounter for fracture with delayed healing"""
S02.102K,"""Fracture of base of skull, left side, subsequent encounter for fracture with nonunion"""
S02.102S,"""Fracture of base of skull, left side, sequela"""
S02.109D,"""Fracture of base of skull, unspecified side, subsequent encounter for fracture with routine healing"""
S02.109G,"""Fracture of base of skull, unspecified side, subsequent encounter for fracture with delayed healing"""
S02.109K,"""Fracture of base of skull, unspecified side, subsequent encounter for fracture with nonunion"""
S02.109S,"""Fracture of base of skull, unspecified side, sequela"""
S02.110D,"""Type I occipital condyle fracture, unspecified side, subsequent encounter for fracture with routine healing"""
S02.110G,"""Type I occipital condyle fracture, unspecified side, subsequent encounter for fracture with delayed healing"""
S02.110K,"""Type I occipital condyle fracture, unspecified side, subsequent encounter for fracture with nonunion"""
S02.110S,"""Type I occipital condyle fracture, unspecified side, sequela"""
S02.111D,"""Type II occipital condyle fracture, unspecified side, subsequent encounter for fracture with routine healing"""
S02.111G,"""Type II occipital condyle fracture, unspecified side, subsequent encounter for fracture with delayed healing"""
S02.111K,"""Type II occipital condyle fracture, unspecified side, subsequent encounter for fracture with nonunion"""
S02.111S,"""Type II occipital condyle fracture, unspecified side, sequela"""
S02.112D,"""Type III occipital condyle fracture, unspecified side, subsequent encounter for fracture with routine healing"""
S02.112G,"""Type III occipital condyle fracture, unspecified side, subsequent encounter for fracture with delayed healing"""
S02.112K,"""Type III occipital condyle fracture, unspecified side, subsequent encounter for fracture with nonunion"""
S02.112S,"""Type III occipital condyle fracture, unspecified side, sequela"""
S02.113D,"""Unspecified occipital condyle fracture, subsequent encounter for fracture with routine healing"""
S02.113G,"""Unspecified occipital condyle fracture, subsequent encounter for fracture with delayed healing"""
S02.113K,"""Unspecified occipital condyle fracture, subsequent encounter for fracture with nonunion"""
S02.113S,"""Unspecified occipital condyle fracture, sequela"""
S02.118D,"""Other fracture of occiput, unspecified side, subsequent encounter for fracture with routine healing"""
S02.118G,"""Other fracture of occiput, unspecified side, subsequent encounter for fracture with delayed healing"""
S02.118K,"""Other fracture of occiput, unspecified side, subsequent encounter for fracture with nonunion"""
S02.118S,"""Other fracture of occiput, unspecified side, sequela"""
S02.119D,"""Unspecified fracture of occiput, subsequent encounter for fracture with routine healing"""
S02.119G,"""Unspecified fracture of occiput, subsequent encounter for fracture with delayed healing"""
S02.119K,"""Unspecified fracture of occiput, subsequent encounter for fracture with nonunion"""
S02.119S,"""Unspecified fracture of occiput, sequela"""
S02.11AG,"""Type I occipital condyle fracture, right side, subsequent encounter for fracture with delayed healing"""
S02.11AK,"""Type I occipital condyle fracture, right side, subsequent encounter for fracture with nonunion"""
S02.11AS,"""Type I occipital condyle fracture, right side, sequela"""
S02.11BD,"""Type I occipital condyle fracture, left side, subsequent encounter for fracture with routine healing"""
S02.11BG,"""Type I occipital condyle fracture, left side, subsequent encounter for fracture with delayed healing"""
S02.11BK,"""Type I occipital condyle fracture, left side, subsequent encounter for fracture with nonunion"""
S02.11BS,"""Type I occipital condyle fracture, left side, sequela"""
S02.11CG,"""Type II occipital condyle fracture, right side, subsequent encounter for fracture with delayed healing"""
S02.11CK,"""Type II occipital condyle fracture, right side, subsequent encounter for fracture with nonunion"""
S02.11CS,"""Type II occipital condyle fracture, right side, sequela"""
S02.11DD,"""Type II occipital condyle fracture, left side, subsequent encounter for fracture with routine healing"""
